Name,Province,Fuel,Capacity,Status,Units Included
TBKHH Dung Quất III,Quảng Ngãi,Gas,750.0,3 added to PDP,TBKHH Dung Quất III
"TBKHH Kiên Giang I, II",Kiên Giang,Gas,1500.0,3 added to PDP,"TBKHH Kiên Giang I, II"
TBKHH Nhơn Trạch I,Đồng Nai,Gas,465.0,5 operating,TBKHH Nhơn Trạch I
TBKHH Nhơn Trạch II,Đồng Nai,Gas,750.0,5 operating,TBKHH Nhơn Trạch II
TBKHH Phú Mỹ 1,Bà Rịa-Vũng Tàu,Gas,1140.0,5 operating,TBKHH Phú Mỹ 1
TBKHH Phú Mỹ 2.1,Bà Rịa-Vũng Tàu,Gas,499.0,5 operating,TBKHH Phú Mỹ 2.1
TBKHH Phú Mỹ 2.1 MR,Bà Rịa-Vũng Tàu,Gas,450.0,5 operating,TBKHH Phú Mỹ 2.1 MR
TBKHH Phú Mỹ 2.2,Bà Rịa-Vũng Tàu,Gas,740.0,5 operating,TBKHH Phú Mỹ 2.2
TBKHH Phú Mỹ 3,Bà Rịa-Vũng Tàu,Gas,740.0,5 operating,TBKHH Phú Mỹ 3
TBKHH Phú Mỹ 4,Bà Rịa-Vũng Tàu,Gas,468.0,5 operating,TBKHH Phú Mỹ 4
TBKHH Quảng Trị (khí Báo Vàng),Quảng Trị,Gas,340.0,3 added to PDP,TBKHH Quảng Trị (khí Báo Vàng)
TBKHH miền Trung I,Quảng Nam,Gas,750.0,3 added to PDP,TBKHH miền Trung I
TBKHH miền Trung II,Quảng Nam,Gas,750.0,3 added to PDP,TBKHH miền Trung II
TBKHH Ô Môn I,Cần Thơ,Gas,660.0,0 exploring,TBKHH Ô Môn I
TBKHH Ô Môn II,Cần Thơ,Gas,1050.0,3 added to PDP,TBKHH Ô Môn II
TBKHH Ô Môn III,Cần Thơ,Gas,1050.0,3 added to PDP,TBKHH Ô Môn III
TBKHH Ô Môn IV,Cần Thơ,Gas,1050.0,4 Construction,TBKHH Ô Môn IV
Thang Long,Quảng Ninh,Coal,600.0,5 operating,"Thang Long Unit 1, Thang Long Unit 2"
Thái Bình 1,Thái Bình,Coal,600.0,5 operating,"Thái Bình 1 Unit 1, Thái Bình 1 Unit 2"
Thái Bình 2,Thái Bình,Coal,1200.0,5 operating,"Thái Bình 2 Unit 1, Thái Bình 2 Unit 2"
Tân Phước 1,Tiền Giang,Gas,1200.0,1 announced,"Tân Phước 1 Unit 1, Tân Phước 1 Unit 2"
Tân Phước 2,Tiền Giang,Gas,1200.0,1 announced,"Tân Phước 2 Unit 1, Tân Phước 2 Unit 2"
Uong Bi I,Quảng Ninh,Coal,105.0,10 retired,"Uong Bi I Unit 1, Uong Bi I Unit 2"
Uong Bi I extension,Quảng Ninh,Coal,300.0,5 operating,Uong Bi I extension
Uong Bi II extension,Quảng Ninh,Coal,330.0,5 operating,Uong Bi II extension
Vedan Vietnam Cogeneration power station,Đồng Nai,Coal,60.0,5 operating,Vedan Vietnam Cogeneration power station
Vinh Tan 1,Bình Thuận,Coal,1200.0,5 operating,"Vinh Tan 1 Unit 1, Vinh Tan 1 Unit 2"
Vinh Tan 2,Bình Thuận,Coal,1244.0,5 operating,"Vinh Tan 2 Unit 1, Vinh Tan 2 Unit 2"
Vinh Tan 3,Bình Thuận,Coal,1980.0,3 permitted,"Vinh Tan 3 Unit 1, Vinh Tan 3 Unit 2, Vinh Tan 3 Unit 3"
Vinh Tan 4,Bình Thuận,Coal,1200.0,5 operating,"Vinh Tan 4 Unit 1, Vinh Tan 4 Unit 2"
Vinh Tan 4 extension,Bình Thuận,Coal,600.0,5 operating,Vinh Tan 4 extension
Vung Ang 1,Hà Tĩnh,Coal,1200.0,5 operating,"Vung Ang 1 Unit 1, Vung Ang 1 Unit 2"
Vung Ang 2,Hà Tĩnh,Coal,1330.0,4 Construction,"Vung Ang 2 Unit 1, Vung Ang 2 Unit 2"
Vung Ang 3,Hà Tĩnh,Coal,2400.0,9 cancelled,"Vung Ang 3 Unit 1, Vung Ang 3 Unit 2, Vung Ang 3 Unit 3, Vung Ang 3 Unit 4"
Vân Phong 1,Khánh Hòa,Coal,1432.0,4 construction,"Vân Phong 1 Unit 1, Vân Phong 1 Unit 2"
